,Program Name,Program Type,Avg Days Between Inspections
19278,ADVENTURES - SAM LIVINGSTON ELEMENTARY,OUT OF SCHOOL CARE PROGRAM,59.46666666666667
19279,DAYCARE OF HOPE,DAY CARE PROGRAM,62.42857142857143
19280,MOMMY'S KIDS CHILDCARE CENTRE LTD.,DAY CARE PROGRAM,20.62142857142857
19281,JUMP AND LEAP CHILDCARE,OUT OF SCHOOL CARE PROGRAM,36.85
19282,FUNFLEX PLAYCARE,FACILITY-BASED PROGRAM,4.34070796460177
19283,FUNFLEX PLAYCARE HOURLY DROP-IN CHILDCARE CENTRE,OUT OF SCHOOL CARE PROGRAM,10.788321167883211
19284,SOUTH CALGARY MONTESSORI CHILD CARE LTD.,PRE-SCHOOL PROGRAM,41.19277108433735
19285,IMAGINE EARLY LEARNING & CHILD CARE CENTRE 4800,DAY CARE PROGRAM,54.17142857142857
19286,CHILD'S PLAY OUT OF SCHOOL CARE @ ST. MARGARET,FACILITY-BASED PROGRAM,129.07692307692307
19287,HAPPY SOULS PLAYSCHOOL INC.,OUT OF SCHOOL CARE PROGRAM,68.175
19288,CODED MINDS - BANTING AND BEST ISTEAM LAB,OUT OF SCHOOL CARE PROGRAM,72.5909090909091
19289,LA SOCIETE POMMES DE REINETTE DAYCARE NE,DAY CARE PROGRAM,27.61904761904762
19290,CALGARY CHILD'S PLAY OUT OF SCHOOL CARE @ ST. LUKE,OUT OF SCHOOL CARE PROGRAM,76.4
19291,A CHILD FIRST PRESCHOOL INC.,PRE-SCHOOL PROGRAM,40.52325581395349
19292,STEM BEFORE AND AFTER CARE PROGRAM-SIMONS VALLEY SCHOOL,OUT OF SCHOOL CARE PROGRAM,45.89473684210526
19293,BRENTWOOD CHILDCARE CENTER,FACILITY-BASED PROGRAM,38.353846153846156
19294,BONAVISTA MONTESSORI CHILDRENS CENTRE,DAY CARE PROGRAM,33.49038461538461
19295,KIDZ CHOICE PRESCHOOL,PRE-SCHOOL PROGRAM,114.0
19296,CALGARY CHILD'S PLAY BEFORE & AFTER SCHOOL CARE @ ST. LUKES,OUT OF SCHOOL CARE PROGRAM,37.75
19297,ALADDIN AFTER SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,91.06451612903226
19298,KIDSLAND PRE-SCHOOL - MCKENZIE,OUT OF SCHOOL CARE PROGRAM,47.083333333333336
19299,BRITANNIA MONTESSORI CHILDREN'S CENTRE,OUT OF SCHOOL CARE PROGRAM,55.152542372881356
19300,BRIGHTPATH BOWNESS,DAY CARE PROGRAM,23.594405594405593
19301,ROYAL OAK CHRISTIAN CHILD CARE CENTRE INC.,OUT OF SCHOOL CARE PROGRAM,69.52380952380952
19302,BRIGHTPATH MCKENZIE TOWNE,OUT OF SCHOOL CARE PROGRAM,26.610687022900763
19303,KIDS & COMPANY - MID-LAKE,OUT OF SCHOOL CARE PROGRAM,47.36986301369863
19304,SHAWNESSY YMCA CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,75.6304347826087
19305,BRIGHTPATH FOREST HEIGHTS,DAY CARE PROGRAM,28.493827160493826
19306,THE HEARTLAND AGENCY,PRE-SCHOOL PROGRAM,37.08888888888889
19307,FLEDGLINGS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,14.333333333333334
19308,FUNFLEX PLAYCARE HOURLY DROP-IN CHILDCARE CENTRE,OUT OF SCHOOL CARE PROGRAM,10.788321167883211
19309,BRIGHTPATH FALCONRIDGE,DAY CARE PROGRAM,23.95744680851064
19310,MAPLE ROOTS OOSC GUARDIAN ANGEL,OUT OF SCHOOL CARE PROGRAM,73.73076923076923
19311,ALPINE MONTESSORI CHILDREN'S CENTRE,FACILITY-BASED PROGRAM,21.549668874172184
19312,ACTIVE START COUNTRY HILLS,DAY CARE PROGRAM,10.458563535911603
19313,TOPP KIDS CHILDCARE CENTRE - EVERGREEN ELEMENTARY,OUT OF SCHOOL CARE PROGRAM,125.3
19314,CANCARE CHILDREN'S CENTRE I,DAY CARE PROGRAM,29.58974358974359
19315,EDELWEISS PREPARATORY SCHOOL LTD.,FACILITY-BASED PROGRAM,123.73913043478261
19316,DOVER DAY CARE,OUT OF SCHOOL CARE PROGRAM,26.45689655172414
19317,UNIVERSITY HEIGHTS NURSERY SCHOOL,PRE-SCHOOL PROGRAM,99.8
19318,1ST CLASS AFTER CLASS - ST. WILLIAM,FACILITY-BASED PROGRAM,126.14285714285714
19319,KIDS & COMPANY - BOW TRAIL,OUT OF SCHOOL CARE PROGRAM,31.51923076923077
19320,GBC CHILDCARE CENTRE,OUT OF SCHOOL CARE PROGRAM,52.76923076923077
19321,A CHILD FIRST PRESCHOOL INC.,PRE-SCHOOL PROGRAM,40.52325581395349
19322,GLOBAL KIDS II,DAY CARE PROGRAM,56.48
19323,LA SOCIETE POMMES DE REINETTE DAYCARE NE,PRE-SCHOOL PROGRAM,27.61904761904762
19324,CAROUSEL MONTESSORI CHILDREN'S CENTRE,DAY CARE PROGRAM,50.166666666666664
